Notified,Source,Destination,Protocol,Length,Info
1,192.168.56.101,192.168.56.106,TCP,60,"21  >  42752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
1,192.168.56.106,192.168.56.101,TCP,54,42752  >  21 [RST] Seq=1 Win=0 Len=0
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"1720  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  8086 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"199  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  2394 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"8086  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"2394  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  616 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  9101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"616  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1076 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"9101  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"1076  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  14000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  15660 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"14000  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"15660  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  514 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  8292 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"514  >  42752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
1,192.168.56.106,192.168.56.101,TCP,54,42752  >  514 [RST] Seq=1 Win=0 Len=0
1,192.168.56.101,192.168.56.106,TCP,60,"8292  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  32770 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"32770  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  3168 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  12174 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"3168  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  4111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"12174  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  687 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"4111  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  5915 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"687  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"5915  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  8022 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1117 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"8022  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"1117  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  32781 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"32781  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  44501 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  50500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"44501  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  10621 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"50500  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"10621  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  5560 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"5560  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  6646 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"6646  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1062 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"1007  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"1062  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1088 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"1088  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  9877 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"9877  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  4129 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"4129  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  668 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"668  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  8042 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"8042  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  2800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  714 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"2800  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  5061 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"714  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"5061  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1984 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  9998 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"1984  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  119 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"9998  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"119  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  179 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  9415 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"179  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  4279 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"9415  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  3013 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"4279  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"3013  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  8654 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  990 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"8654  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"990  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  40193 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  2022 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"40193  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"2022  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1073 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"1073  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  9929 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"9929  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  2045 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
